T/T_C	Del/Del_0
0.882589725263	0.5660434
0.883514502348	0.5640436
0.884434328414	0.5620438
0.885349229944	0.560044
0.886259233249	0.5580442
0.887164364201	0.5560444
0.888064648446	0.5540446
0.888960111273	0.5520448
0.889850777682	0.550045
0.890736672387	0.5480452
0.891617819781	0.5460454
0.892494243996	0.5440456
0.893365968869	0.5420458
0.894233017944	0.540046
0.895095414514	0.5380462
0.895953181575	0.5360464
0.896806341867	0.5340466
0.897654917887	0.5320468
0.898498931808	0.530047
0.899338405649	0.5280472
0.900173361053	0.5260474
0.901003819532	0.5240476
0.901829802281	0.5220478
0.902651330249	0.520048
0.903468424245	0.5180482
0.904281105337	0.5160484
0.905089391883	0.5140486
0.905893305875	0.5120488
0.906692866458	0.510049
0.907488093314	0.5080492
0.908279005687	0.5060494
